group,method,n_subjects,n,bias_cm,mae_cm,rmse_cm,r2
LATERAL_GLOBAL,per_image_cube_horizon,50,99,0.4925478607871775,1.6217465007889809,2.015400534523068,0.9833905321813935
LATERAL_GLOBAL,shared_subject_horizon,50,99,-9.431017100837582,9.5213019522418,11.6895108912015,0.4412395498509877
left,per_image_cube_horizon,50,50,0.5930435251377512,1.5611313035678196,1.9341883648427163,0.9846575660099596
left,shared_subject_horizon,50,50,-9.54208301890398,9.581946483965663,11.790320358128364,0.42990406843424334
right,per_image_cube_horizon,49,49,0.39000126451108197,1.6835987428513903,2.095027449074399,0.982102571876454
right,shared_subject_horizon,49,49,-9.317684531382072,9.459419777013366,11.5857399289055,0.4526580401843212
