group,n_images,mean_horizon_delta_px,median_horizon_delta_px,std_horizon_delta_px,min_horizon_delta_px,max_horizon_delta_px,mean_error_improvement_cm,median_error_improvement_cm,fraction_images_improved
LATERAL_GLOBAL,99,47.28787878787879,47.5,37.11531196405655,-15.5,148.0,7.969398494920765,7.121808929674046,0.898989898989899
left,50,48.22,48.0,36.23719478263026,-2.5,148.0,8.116884163540181,7.685744532044964,0.9
right,49,46.33673469387755,47.0,38.342805137109,-15.5,148.0,7.818902914696871,5.8594145804974005,0.8979591836734694
