grupo,n,bias_cm,mae_cm,rmse_cm
back,50,1.5,2.3,3.2
front,50,1.1,2.5,3.4
left,50,-9.9,9.9,12.0
right,50,-9.6,9.7,11.8
FRONT+BACK,100,1.3,2.4,3.3
GLOBAL,200,-4.2,6.1,8.7
