method,n_valid,bias_cm,mae_cm,rmse_cm
median_scale,5,30.98438234156011,30.98438234156011,31.640424003206142
best_quality_scale,5,11.653451703117607,18.038330708162512,20.222972763905624
closest_feet_scale,5,-2.4135583796221196,10.110061006854298,11.139086028800445
