group,method,n_subjects,n,bias_cm,mae_cm,rmse_cm,r2
GLOBAL,baseline_mean,41,82,-0.030626385809311128,12.737629342202515,16.83388904169892,-0.03444097943792501
GLOBAL,initial_height_raw,41,82,-8.538768502459826,19.396222260930585,21.50917398345881,-0.6888234912544646
GLOBAL,calibrated_initial_height,41,82,0.34423082338245875,10.446409963682605,13.470410567504091,0.3376333433611821
GLOBAL,calibrated_segment_sum,41,82,0.3642479586701678,10.48497291161255,13.538758601067299,0.3308946755904175
GLOBAL,ridge_segments_cm,41,82,0.5153759570638129,10.048833978695592,13.077302487515523,0.3757290366562307
GLOBAL,ridge_initial_plus_ratios,41,82,0.13644373727290657,9.870530852159066,12.376106641200966,0.44088018716350685
left,baseline_mean,41,41,-0.030626385809311128,12.737629342202512,16.83388904169892,-0.03444097943792479
left,initial_height_raw,41,41,-9.966138426279338,18.850703126817596,20.345649009523765,-0.5110536783498187
left,calibrated_initial_height,41,41,-0.30164702886095507,10.620807135697518,13.857068983209805,0.2990620820013722
left,calibrated_segment_sum,41,41,-0.11642331249884304,10.57127021356688,13.8784291847795,0.2968994724647608
left,ridge_segments_cm,41,41,0.7139006086402072,9.63212247486245,13.377583947106617,0.34673082495950036
left,ridge_initial_plus_ratios,41,41,-0.2185100724297624,9.204125559035989,12.022585151480868,0.47236630786265976
right,baseline_mean,41,41,-0.030626385809311128,12.737629342202512,16.83388904169892,-0.03444097943792479
right,initial_height_raw,41,41,-7.111398578640315,19.941741395043575,22.612909969366335,-0.8665933041591101
right,calibrated_initial_height,41,41,0.9901086756258726,10.272012791667693,13.072320410272104,0.37620460472099204
right,calibrated_segment_sum,41,41,0.8449192298391786,10.39867560965822,13.19034390298479,0.3648898787160748
right,ridge_segments_cm,41,41,0.3168513054874186,10.465545482528732,12.76996195914752,0.4047272483529609
right,ridge_initial_plus_ratios,41,41,0.4913975469755755,10.536936145282143,12.719806502622165,0.40939406646435395
