group,method,n_subjects,n,bias_cm,mae_cm,rmse_cm,r2
LATERAL_GLOBAL,per_image_cube_horizon,39,73,0.9820647472211492,5.0089639298241435,5.807617094911194,0.8757632928166323
LATERAL_GLOBAL,shared_subject_horizon,39,73,30.514346421722607,39.05173214826395,41.63926279719628,-5.386457790395082
left,per_image_cube_horizon,37,37,1.5145228153547168,4.755610770391156,5.670477707054277,0.8741112768720825
left,shared_subject_horizon,37,37,32.75942947329994,40.32017968783784,42.57339208461226,-6.096170515979361
right,per_image_cube_horizon,36,36,0.43481617719498267,5.269354677019159,5.945270404726171,0.8764742543185448
right,shared_subject_horizon,36,36,28.2068999520459,37.748049954813,40.65682656107549,-4.77671862398936
