grupo,n,MAE_antes,MAE_desp,bias_antes,bias_desp,RMSE_antes,RMSE_desp
GLOBAL,200,23.271573445015044,11.369162917563031,1.4178836372617496,0.22355100048315335,27.038203782361943,14.602207142890185
back,50,19.396344462012816,11.379704907357496,7.789685590416889,0.17151843803794606,26.945932470859923,14.798774928282642
front,50,29.251640079136315,11.205014696369304,17.230721031628054,0.042472737557752965,32.96181481160289,14.473860254628555
left,50,21.731720651035626,11.387916470738965,-10.581824757682105,0.4066905163328616,23.065111266572583,14.294259739170732
right,50,22.706588587875427,11.504015595786354,-8.767047315315837,0.2735223100040528,24.076835028055626,14.83494463205482
