method,n_valid,bias_cm,mae_cm,rmse_cm
median_scale,200,33.41206727292327,33.41206727292327,34.879426024971615
best_quality_scale,200,4.539332609254119,17.339778864168142,18.497880823099543
closest_feet_scale,200,22.226334947295687,29.210037194821883,32.089970679412865
ground_line_scale,200,1.4178836372617496,23.271573445015044,27.038203782361943
