grupo,n,MAE_antes,MAE_desp,bias_antes,bias_desp,RMSE_antes,RMSE_desp
GLOBAL,164,15.425995910785069,7.192493385922706,-9.567258918224656,0.27285940542945725,17.618928204371258,10.825703356626498
back,41,8.007714864710573,3.1929623858094445,-7.995312553875501,0.054365480127004054,8.83030202417682,3.963526754894038
front,41,14.903824256568535,4.349780732866599,-13.19618611410347,0.24052555988514535,15.441604824096878,8.958225136130075
left,41,18.850703126817596,10.726614953876323,-9.966138426279338,0.4272093765294603,20.345649009523765,14.216450678670446
right,41,19.941741395043575,10.50061547113845,-7.111398578640315,0.3693372051762194,22.612909969366335,13.065856299426915
